provider,model,scenario_count,avg_return,worst_drawdown,avg_sharpe,avg_fill_rate,total_rejected_orders,total_risk_edits,avg_parse_coverage
poe,gemini-3.1-pro,2,-0.04491522871710385,-0.185368024563352,0.12122489961154326,0.7053846153846154,12,45,1.0
poe,claude-opus-4.7,2,-0.0472925514109222,-0.185388751584192,-0.03027239878927568,0.76625,8,62,1.0
poe,kimi-k2.5,2,-0.060124529589053066,-0.1755132621389076,-1.2716584887959774,0.7537931034482759,11,55,1.0
poe,gpt-5.5,2,-0.06447485564557537,-0.185388751584192,-1.2600095750043347,0.7766666666666666,8,59,1.0
poe,glm-5,2,-0.06595465920560983,-0.18540622537448614,-1.3997261082660424,0.7707142857142857,9,56,1.0
deepseek,deepseek-v4-pro,2,-0.07200641013656378,-0.18540622537448614,-2.063622777746512,0.7446153846153847,10,48,1.0
deepseek,deepseek-v4-flash,2,-0.07725741913156303,-0.20577384534423304,-1.7365502713277379,0.7774294670846396,8,56,1.0
